id,conversion,age,country,group
1,0.00,34,US,
2,0.10,28,US,
3,0.05,45,CA,
4,0.00,39,US,
5,0.15,41,GB,
6,0.00,33,US,
7,0.20,29,US,
8,0.00,50,CA,
9,0.05,38,GB,
10,0.00,31,US,
11,0.00,42,US,
12,0.10,27,US,
13,0.05,36,CA,
14,0.00,48,US,
15,0.15,35,GB,
16,0.00,30,US,
17,0.20,32,US,
18,0.00,44,CA,
19,0.05,37,GB,
20,0.00,29,US,
21,0.00,41,US,
22,0.10,26,US,
23,0.05,34,CA,
24,0.00,47,US,
25,0.15,40,GB,
26,0.00,33,US,
27,0.20,28,US,
28,0.00,49,CA,
29,0.05,39,GB,
30,0.00,32,US,
31,0.00,43,US,
32,0.10,27,US,
33,0.05,35,CA,
34,0.00,46,US,
35,0.15,36,GB,
36,0.00,31,US,
37,0.20,30,US,
38,0.00,45,CA,
39,0.05,38,GB,
40,0.00,33,US,
